Dataset,K,Retriever,Hit@K,MRR
SQuAD v1,3,BM25,0.6985,0.6234833333333374
SQuAD v1,3,DPR,0.8569,0.767783333333342
SQuAD v1,3,Hybrid (BM25 + DPR),0.85625,0.7772000000000087
SQuAD v1,5,BM25,0.7481,0.634813333333341
SQuAD v1,5,DPR,0.9039,0.7785883333333473
SQuAD v1,5,Hybrid (BM25 + DPR),0.8961,0.7863875000000127
SQuAD v1,9,BM25,0.79775,0.6417875396825466
SQuAD v1,9,DPR,0.94005,0.7837048015873133
SQuAD v1,9,Hybrid (BM25 + DPR),0.93145,0.7914003968254063
SQuAD v2,3,BM25,0.70595,0.6329916666666696
SQuAD v2,3,DPR,0.85855,0.7688916666666762
SQuAD v2,3,Hybrid (BM25 + DPR),0.8596,0.7825250000000061
SQuAD v2,5,BM25,0.75495,0.6441841666666723
SQuAD v2,5,DPR,0.90455,0.7794666666666806
SQuAD v2,5,Hybrid (BM25 + DPR),0.89875,0.7915225000000095
SQuAD v2,9,BM25,0.80415,0.6510791071428619
SQuAD v2,9,DPR,0.94,0.7845077380952495
SQuAD v2,9,Hybrid (BM25 + DPR),0.9333,0.7964326190476265
